                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.02351,                      1,                      1,                 1.6895,              0.0044065,              0.0044065,              0.0044065
                    115,                0.01691,                      1,                      1,                 1.6896,               0.004357,               0.004357,               0.004357
                    116,                0.01769,                      1,                      1,                 1.6895,              0.0043075,              0.0043075,              0.0043075
                    117,                0.02458,                      1,                      1,                 1.6896,               0.004258,               0.004258,               0.004258
                    118,                0.02343,                0.99989,                      1,                 1.6896,              0.0042085,              0.0042085,              0.0042085
                    119,                0.02183,                0.99989,                      1,                 1.6896,               0.004159,               0.004159,               0.004159
                    120,                0.01841,                0.99989,                      1,                 1.6896,              0.0041095,              0.0041095,              0.0041095
                    121,                0.02089,                0.99989,                      1,                 1.6896,                0.00406,                0.00406,                0.00406
                    122,                 0.0189,                0.99989,                      1,                 1.6896,              0.0040105,              0.0040105,              0.0040105
                    123,                0.01729,                0.99989,                      1,                 1.6896,               0.003961,               0.003961,               0.003961
                    124,                0.01728,                0.99989,                      1,                 1.6896,              0.0039115,              0.0039115,              0.0039115
                    125,                0.01584,                0.99989,                      1,                 1.6896,               0.003862,               0.003862,               0.003862
                    126,                0.02649,                0.99989,                      1,                 1.6896,              0.0038125,              0.0038125,              0.0038125
                    127,                0.02187,                      1,                      1,                 1.6895,               0.003763,               0.003763,               0.003763
                    128,                0.02012,                      1,                      1,                 1.6895,              0.0037135,              0.0037135,              0.0037135
                    129,                0.02234,                      1,                      1,                 1.6895,               0.003664,               0.003664,               0.003664
                    130,                0.01956,                      1,                      1,                 1.6895,              0.0036145,              0.0036145,              0.0036145
                    131,                0.01345,                      1,                      1,                 1.6895,               0.003565,               0.003565,               0.003565
                    132,                0.01156,                      1,                      1,                 1.6895,              0.0035155,              0.0035155,              0.0035155
                    133,                0.01781,                      1,                      1,                 1.6895,               0.003466,               0.003466,               0.003466
                    134,                0.01541,                      1,                      1,                 1.6895,              0.0034165,              0.0034165,              0.0034165
                    135,                0.01428,                      1,                      1,                 1.6895,               0.003367,               0.003367,               0.003367
                    136,                0.01328,                      1,                      1,                 1.6895,              0.0033175,              0.0033175,              0.0033175
                    137,                 0.0122,                      1,                      1,                 1.6895,               0.003268,               0.003268,               0.003268
                    138,                0.01748,                      1,                      1,                 1.6895,              0.0032185,              0.0032185,              0.0032185
                    139,                0.01676,                      1,                      1,                 1.6895,               0.003169,               0.003169,               0.003169
                    140,                0.01599,                      1,                      1,                 1.6895,              0.0031195,              0.0031195,              0.0031195
                    141,                0.01605,                      1,                      1,                 1.6895,                0.00307,                0.00307,                0.00307
                    142,                0.01436,                      1,                      1,                 1.6895,              0.0030205,              0.0030205,              0.0030205
                    143,                0.01182,                      1,                      1,                 1.6895,               0.002971,               0.002971,               0.002971
                    144,                0.01052,                      1,                      1,                 1.6895,              0.0029215,              0.0029215,              0.0029215
                    145,                0.01488,                      1,                      1,                 1.6895,               0.002872,               0.002872,               0.002872
                    146,                 0.0161,                      1,                      1,                 1.6895,              0.0028225,              0.0028225,              0.0028225
                    147,                0.01029,                      1,                      1,                 1.6895,               0.002773,               0.002773,               0.002773
                    148,                0.01222,                      1,                      1,                 1.6895,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.0132,                      1,                      1,                 1.6895,               0.002674,               0.002674,               0.002674
                    150,                0.00817,                      1,                      1,                 1.6895,              0.0026245,              0.0026245,              0.0026245
                    151,                0.01335,                      1,                      1,                 1.6895,               0.002575,               0.002575,               0.002575
                    152,                0.01014,                      1,                      1,                 1.6895,              0.0025255,              0.0025255,              0.0025255
                    153,                 0.0108,                      1,                      1,                 1.6895,               0.002476,               0.002476,               0.002476
                    154,                 0.0097,                      1,                      1,                 1.6895,              0.0024265,              0.0024265,              0.0024265
                    155,                0.01174,                      1,                      1,                 1.6895,               0.002377,               0.002377,               0.002377
                    156,                0.01198,                      1,                      1,                 1.6895,              0.0023275,              0.0023275,              0.0023275
                    157,                0.01207,                      1,                      1,                 1.6895,               0.002278,               0.002278,               0.002278
                    158,                0.01062,                      1,                      1,                 1.6895,              0.0022285,              0.0022285,              0.0022285
                    159,                0.01087,                      1,                      1,                 1.6895,               0.002179,               0.002179,               0.002179
                    160,                 0.0107,                      1,                      1,                 1.6895,              0.0021295,              0.0021295,              0.0021295
                    161,                0.00692,                      1,                      1,                 1.6895,                0.00208,                0.00208,                0.00208
                    162,                0.00708,                      1,                      1,                 1.6895,              0.0020305,              0.0020305,              0.0020305
                    163,                0.00663,                      1,                      1,                 1.6895,               0.001981,               0.001981,               0.001981
                    164,                0.00728,                      1,                      1,                 1.6895,              0.0019315,              0.0019315,              0.0019315
                    165,                0.00791,                      1,                      1,                 1.6895,               0.001882,               0.001882,               0.001882
                    166,                0.01145,                      1,                      1,                 1.6895,              0.0018325,              0.0018325,              0.0018325
                    167,                0.00907,                      1,                      1,                 1.6895,               0.001783,               0.001783,               0.001783
                    168,                0.00849,                      1,                      1,                 1.6895,              0.0017335,              0.0017335,              0.0017335
                    169,                0.01122,                      1,                      1,                 1.6895,               0.001684,               0.001684,               0.001684
                    170,                 0.0084,                      1,                      1,                 1.6895,              0.0016345,              0.0016345,              0.0016345
                    171,                0.00734,                      1,                      1,                 1.6895,               0.001585,               0.001585,               0.001585
                    172,                0.01141,                      1,                      1,                 1.6895,              0.0015355,              0.0015355,              0.0015355
                    173,                0.00637,                      1,                      1,                 1.6895,               0.001486,               0.001486,               0.001486
                    174,                0.00878,                      1,                      1,                 1.6895,              0.0014365,              0.0014365,              0.0014365
                    175,                0.00969,                      1,                      1,                 1.6895,               0.001387,               0.001387,               0.001387
                    176,                 0.0085,                      1,                      1,                 1.6895,              0.0013375,              0.0013375,              0.0013375
                    177,                0.00671,                      1,                      1,                 1.6895,               0.001288,               0.001288,               0.001288
                    178,                0.00831,                      1,                      1,                 1.6895,              0.0012385,              0.0012385,              0.0012385
                    179,                 0.0043,                      1,                      1,                 1.6895,               0.001189,               0.001189,               0.001189
                    180,                0.00821,                      1,                      1,                 1.6895,              0.0011395,              0.0011395,              0.0011395
                    181,                0.00766,                      1,                      1,                 1.6895,                0.00109,                0.00109,                0.00109
                    182,                0.00616,                      1,                      1,                 1.6895,              0.0010405,              0.0010405,              0.0010405
                    183,                0.00511,                      1,                      1,                 1.6895,               0.000991,               0.000991,               0.000991
                    184,                0.00675,                      1,                      1,                 1.6895,              0.0009415,              0.0009415,              0.0009415
                    185,                0.00783,                      1,                      1,                 1.6895,               0.000892,               0.000892,               0.000892
                    186,                0.00652,                      1,                      1,                 1.6895,              0.0008425,              0.0008425,              0.0008425
                    187,                0.00649,                      1,                      1,                 1.6895,               0.000793,               0.000793,               0.000793
                    188,                 0.0073,                      1,                      1,                 1.6895,              0.0007435,              0.0007435,              0.0007435
                    189,                0.00574,                      1,                      1,                 1.6895,               0.000694,               0.000694,               0.000694
                    190,                0.00573,                      1,                      1,                 1.6895,              0.0006445,              0.0006445,              0.0006445
                    191,                0.00404,                      1,                      1,                 1.6895,               0.000595,               0.000595,               0.000595
                    192,                0.00627,                      1,                      1,                 1.6895,              0.0005455,              0.0005455,              0.0005455
                    193,                0.00544,                      1,                      1,                 1.6895,               0.000496,               0.000496,               0.000496
                    194,                0.00466,                      1,                      1,                 1.6895,              0.0004465,              0.0004465,              0.0004465
                    195,                 0.0054,                      1,                      1,                 1.6895,               0.000397,               0.000397,               0.000397
                    196,                0.00429,                      1,                      1,                 1.6895,              0.0003475,              0.0003475,              0.0003475
                    197,                0.00414,                      1,                      1,                 1.6895,               0.000298,               0.000298,               0.000298
                    198,                 0.0054,                      1,                      1,                 1.6895,              0.0002485,              0.0002485,              0.0002485
                    199,                 0.0044,                      1,                      1,                 1.6895,               0.000199,               0.000199,               0.000199
                    200,                0.00404,                      1,                      1,                 1.6895,              0.0001495,              0.0001495,              0.0001495
